USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
teamlead           854   7.0 12.8 39655804 2140540   ??  R     9:28PM   3:49.05 /Applications/PyCharm.app/Contents/MacOS/pycharm
teamlead           979   1.6  1.4 1219948552 243260   ??  S     9:29PM   0:35.67 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=20 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=103840570 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=188
_windowserver      165   1.3  0.8 37533352 140400   ??  Ss    9:27PM   1:26.23 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
teamlead           931   1.0  1.9 68505044 317352   ??  S     9:29PM   0:47.93 /Applications/Yandex.app/Contents/MacOS/Yandex
teamlead           987   0.8  1.3 34920900 217716   ??  S     9:29PM   0:20.36 /Applications/Telegram.app/Contents/MacOS/Telegram
root               515   0.7  0.1 33878440  20364   ??  Ss    9:27PM   0:07.71 /usr/libexec/TouchBarServer
root               158   0.5  0.1 33822820  18944   ??  Ss    9:27PM   0:04.75 /usr/sbin/bluetoothd
teamlead           570   0.5  0.2 34382520  30244   ??  S     9:27PM   0:02.89 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
teamlead           958   0.4  0.5 67718904  84196   ??  S     9:29PM   0:16.08 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper.app/Contents/MacOS/Yandex Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=network --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --process-name=Network Service --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=18
teamlead           599   0.2  0.2 33773276  26344   ??  S     9:28PM   0:02.27 /usr/libexec/sharingd
teamlead          1509   0.1  0.2 34203288  36872   ??  S     9:46PM   0:00.57 /usr/local/Cellar/python@3.9/3.9.6/Frameworks/Python.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python /Applications/PyCharm.app/Contents/plugins/python/helpers/pydev/pydevconsole.py --mode=client --host=127.0.0.1 --port=49596
teamlead           604   0.1  0.1 33759548  14308   ??  S     9:28PM   0:01.01 /usr/libexec/rapportd
root               102   0.1  0.0 33743356   6248   ??  Ss    9:27PM   0:10.81 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
teamlead           577   0.1  0.1 34259348  14152   ??  S     9:27PM   0:05.23 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/DFRHUD.app/Contents/MacOS/DFRHUD launchd
_nearbyd           582   0.1  0.1 33765224   9344   ??  Ss    9:27PM   0:00.79 /usr/libexec/nearbyd
root              1307   0.0  0.0 33728300   4000   ??  Ss    9:36PM   0:00.05 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root              1305   0.0  0.1 33759252  11288   ??  Ss    9:36PM   0:00.25 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
root              1302   0.0  0.0 33758876   4096   ??  Ss    9:36PM   0:00.08 /usr/libexec/aned
root              1301   0.0  0.0 33711888   2292   ??  Ss    9:36PM   0:00.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
teamlead          1269   0.0  0.1 34250304  12272   ??  S     9:36PM   0:00.08 /System/Library/PrivateFrameworks/SkyLight.framework//Versions/A/Resources/AquaAppearanceHelper.app/Contents/MacOS/AquaAppearanceHelper
teamlead          1216   0.0  0.0 34182308   6688   ??  Ss    9:36PM   0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
teamlead          1214   0.0  0.1 34170164   9968   ??  Ss    9:36PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/AccountSubscriber.xpc/Contents/MacOS/AccountSubscriber
teamlead          1213   0.0  0.0 34161796   5988   ??  Ss    9:36PM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
teamlead          1212   0.0  0.0 34171012   6080   ??  Ss    9:36PM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
teamlead          1211   0.0  0.0 34161796   6020   ??  Ss    9:36PM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
teamlead          1208   0.0  0.0 33752640   6916   ??  S     9:36PM   0:00.17 /System/Library/PrivateFrameworks/RemoteManagement.framework/RemoteManagementAgent
root              1209   0.0  0.0 33675024    624   ??  SNs   9:36PM   0:00.01 /usr/libexec/periodic-wrapper daily
teamlead          1190   0.0  0.1 33775632  13672   ??  S     9:35PM   0:00.31 cloudphotod
teamlead          1184   0.0  0.1 33760760  12628   ??  S     9:35PM   0:00.08 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
teamlead          1183   0.0  0.0 33759956   5148   ??  S     9:35PM   0:00.11 /System/Library/CoreServices/ScopedBookmarkAgent
teamlead          1182   0.0  0.1 33775924  18184   ??  S     9:35PM   0:00.71 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
teamlead          1180   0.0  0.1 33759452  14164   ??  S     9:35PM   0:00.27 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
teamlead          1167   0.0  0.0 33742000   7016   ??  S     9:34PM   0:00.03 /usr/libexec/backgroundassets.user
root              1163   0.0  0.0 33743120   5036   ??  Ss    9:34PM   0:00.04 /usr/libexec/ASPCarryLog
teamlead          1161   0.0  0.1 33719436  11452   ??  S     9:33PM   0:00.35 /usr/libexec/promotedcontentd
root              1159   0.0  0.0 33728860   3880   ??  Ss    9:33PM   0:00.04 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
